procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 796820 115844 103116 909028 14899 15682 19022 15972 23195 225 31 27 38 4 0  0
 4  0 797152 116272 102240 894972 1272 1632  4400  1632 7152 60304 10 10 77 4  0  0
 7  0 799432 130140 101764 878184    8 2292   308  2340 28041 196285 41 36 23 1 0 0
 9  0 799972 118568 102148 878816   44  592   172   592 30506 198367 38 38 23 1 0 0
 4  0 799960 110704 102324 880044    4    0  1128    28 33675 207618 40 37 23 1 0 0
 2  0 799952 108452 102348 880276    0    0    68     0 27728 235737 37 36 27 0 0 0
 4  0 799944 105804 102564 880440    0    0    20     0 31413 210866 36 39 24 1 0 0
 8  0 804124 117060 102576 878848    0 4188     0  4216 40401 196669 43 37 20 0 0 0
 6  0 804108 122660 102604 879200   12    0    12     0 28229 237436 32 37 30 0 0 0
 8  0 803728 118256 102692 879288  556    0   560     0 32753 188422 44 36 20 1 0 0
 6  0 803364 118320 102692 879224  480    0   480     0 23762 228492 35 38 27 0 0 0
 2  0 803360 118320 102692 879224    0    0     0     0 15281 268031 32 31 36 0 0 0
 3  0 803352 118320 102692 879224    0    0     0     0 24395 245204 31 35 34 0 0 0
16  0 803340 115864 102816 879344    0    0     4    20 29259 215636 38 35 26 0 0 0
 1  0 803304 114088 102964 879544   28    0    92     0 28248 229684 33 38 29 0 0 0
 5  0 803300 115080 103080 879692    0    0     0     0 33516 194725 44 36 20 0 0 0
 5  0 803292 114528 103252 879928    0    0    88    48 33983 209128 39 37 24 0 0 0
 5  0 803284 113396 103580 880344    4    0     4    96 35311 209090 39 39 22 0 0 0
 6  0 803188 113016 103624 880384   36    0    36     0 36067 189324 49 34 18 0 0 0
 8  0 803180 112380 103924 880632    0    0     0    80 40408 186662 42 39 19 0 0 0
 1  0 803164 112276 104120 880868    4    0   124     0 38068 211411 39 38 22 1 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 803160 110776 104280 881092    0    0     0     0 38374 198103 43 38 19 0 0 0
 2  0 803152 110464 104444 881180    0    0     0     8 38704 181173 42 38 19 0 0 0
 5  0 803140 110160 104932 881404    4    0   212     0 37675 196096 41 38 21 0 0 0
 6  0 803136 110012 105028 881636    0    0    60    32 40276 204444 42 38 20 0 0 0
 5  0 803128 109844 105192 881856    0    0     0     0 44743 189651 44 38 18 0 0 0
11  0 804816 155504 105196 876840    4 1700    24  1700 43445 185456 45 39 16 0 0 0
