procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1 669532 1502040 100580 1210068 2053 2859 4205 12725 7306  51 22 10 66  2  0  0
 0  1 669528 1501020 100584 1210984  4    0   772     0 2439 4683  3  3 90  4  0  0
 3  0 668024 1430320 102528 1247616 1876  0 37312    48 13020 191068 26 21 47 7 0 0
 5  0 667848 1432724 102684 1248088 176   0   244     0 3208 36722 9  6 84  1  0  0
 3  1 667848 1429068 102792 1248488  0    0    52     0 2976 29578 7  4 89  0  0  0
 3  0 667772 1422052 103456 1249420 284   0  1532    92 9314 141990 24 17 59 0 0  0
 2  0 667760 1422468 103628 1249736 12    0    12     0 6800 89922 18 13 69 0  0  0
 0  0 667760 1420656 103896 1249868  0    0    24     0 8717 110434 20 13 66 1 0  0
 0  0 667576 1419240 104396 1250796 164   0   360    88 9552 141222 21 16 61 1 0  0
 0  0 667556 1408100 104660 1250808 20    0    56     8 7634 87508 20 11 68 1  0  0
 3  0 667536 1410272 104788 1251384 1348  0  1520    36 5618 73448 14 10 75 1  0  0
 5  0 667536 1407140 104860 1251368  0    0     8     0 4038 73710 10 8 81  1  0  0
 1  0 667516 1408900 104968 1251620  0    0     0     0 4673 43713 9  6 84  0  0  0
 0  0 667508 1408508 105088 1251844  8    0    40     0 5533 58133 13 8 79  0  0  0
 0  0 667492 1402732 105344 1252076 16    0    68     0 7340 120250 20 14 65 1 0  0
 0  0 667256 1404484 105476 1252612 232   0   252    28 5850 68983 17 11 71 1  0  0
 0  0 667244 1406540 105744 1252672 12    0   160     0 7011 75101 17 11 71 1  0  0
 3  0 667244 1402832 105744 1252740  0    0     0    80 4525 84769 10 10 80 1  0  0
 0  0 667240 1407568 105864 1252860  4    0     4     0 4515 35080 7  6 86  1  0  0
 0  0 667240 1405960 106052 1252980  0    0   100     0 4614 49914 13 8 78  0  0  0
 0  0 667108 1400788 106404 1253884 128   0   276    60 6221 125920 20 14 65 2 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 667108 1406244 106544 1252124  0    0    28     0 6079 65725 15 10 75 1  0  0
 0  1 667044 1396340 107516 1265776  0    0 14744     0 1192 3774  2  2 94  3  0  0
 1  0 666144 1333020 109648 1302704 872   0 15936     0 17326 149452 35 29 32 4 0 0
 2  0 666144 1343116 109732 1295512  0    0     4     0 4057 46665 11 8 81  1  0  0
 3  0 666144 1320992 109788 1317748  0    0    40     0 4930 41728 19 9 71  1  0  0
 2  0 666136 1319140 110080 1318080  8    0    68    24 19188 145571 45 28 27 1 0 0
 1  0 666128 1317596 110280 1318304  8    0     8     0 8578 101286 19 15 66 0 0  0
 3  1 666128 1309540 110508 1318244  0    0     0     8 11849 137764 34 17 50 0 0 0
 1  1 666056 1309536 111328 1308168 72    0  3236     4 16446 157849 36 28 35 1 0 0
 2  0 665984 1308920 111440 1307584 44    0  1832     0 5993 51776 17 10 69 4  0  0
 3  0 665936 1325068 111880 1295216 64    0   544  5232 8104 63310 26 10 60 5  0  0
 3  0 665936 1324908 111932 1295296  0    0     0     0 5446 99758 11 8 80  0  0  0
 0  0 665864 1334364 112112 1288928  0    0     0  1944 7088 91203 16 12 70 2  0  0
 0  0 665864 1335956 112360 1289124  0    0   128     0 7950 81778 17 11 69 2  0  0
 0  0 665864 1327768 112584 1295228  0    0     0     0 7341 151601 23 16 60 1 0  0
 1  0 665864 1329368 112688 1295512  0    0     0   108 6048 59488 16 11 72 1  0  0
 1  0 665864 1328272 112784 1295584  0    0     0     0 5235 54132 13 8 78  0  0  0
 3  0 665864 1334044 112836 1289608  0    0     0     0 5266 74368 9  9 82  1  0  0
 0  0 665864 1333552 112956 1289728  0    0     0     8 6798 106650 16 14 69 1 0  0
