procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 832892 413664 162116 1533956 1668 2391 3524 12750 6798   59 20 10 68  2  0  0
 1  0 832696 382904 162116 1534032 160    0   160     0 9030 144418 24 15 58 2 0  0
 0  1 832684 380596 162208 1534240   4    0     4   172 10763 95761 22 14 61 3 0  0
 0  0 832636 377400 162336 1534180  44    0    68   128 14489 75502 34 15 50 2 0  0
 1  0 832628 370996 162416 1534264   0    0     0     0 14340 159755 29 20 51 0 0 0
 1  0 832616 369192 162576 1534288   4    0    52     0 21704 173068 38 26 35 0 0 0
 4  0 831980 367680 162676 1534592 632    0   728     0 19832 193371 40 28 32 0 0 0
 5  0 831972 366508 162820 1534712   0    0    40     0 24304 201871 40 29 31 0 0 0
 5  0 831964 365780 162868 1534876   0    0     0     4 9982 62688 22 11 68 0  0  0
 7  1 831956 365772 162940 1534820   0    0     0    20 7837 81058 23 12 65 0  0  0
 1  0 831948 365644 162988 1535036   0    0     0     0 7568 99673 21 12 66 1  0  0
 1  0 831940 358504 163068 1535116   0    0     0     0 14474 150638 29 19 52 0 0 0
 0  0 831936 357440 163148 1535100   0    0     0     0 12128 107066 28 17 55 0 0 0
 3  0 831924 357256 163228 1535436   4    0     4   880 14737 151665 29 19 52 1 0 0
 2  0 831872 357016 163340 1535244  44    0    92     0 15979 105154 34 18 48 0 0 0
 8  0 831484 356952 163396 1535480 1284   0  1304    28 14144 154686 33 21 44 1 0 0
 1  0 831476 355564 163536 1535512   0    0    76  1544 14511 215446 33 23 43 1 0 0
 4  0 831456 356032 163616 1535544   8    0    12     0 15023 203801 37 25 38 0 0 0
 6  0 831448 355852 163680 1535756   4    0     4     0 19400 219013 40 28 32 0 0 0
 5  0 831440 355772 163880 1535844   0    0   128     0 14489 208561 35 25 40 0 0 0
 2  0 831408 354632 164024 1534280  24    0   288    28 15610 184498 34 24 41 1 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 831404 354552 164080 1534204   0    0     0     0 16340 144914 29 21 50 0 0 0
 1  0 831388 354300 164144 1534248   8    0     8     0 15111 226859 35 25 39 0 0 0
 4  0 831376 353496 164208 1534412   4    0     4     0 12100 182005 33 22 45 0 0 0
 3  0 831340 353416 164272 1534460  20    0    20     0 12586 181199 32 23 44 0 0 0
 4  0 831324 352952 164424 1534620  12    0    12   172 19413 211896 39 29 32 1 0 0
 3  0 831316 352196 164520 1534716   0    0     0     0 20312 211592 39 28 33 0 0 0
 4  0 831308 349424 164632 1534800   0    0     0     0 24653 206692 40 32 28 0 0 0
 5  0 831304 342884 164756 1534836   0    0    44     0 25439 218922 42 31 26 0 0 0
 3  0 831296 341464 164840 1534956   0    0    20  1988 11917 115247 26 17 56 1 0 0
 4  0 831288 340788 165068 1535004   0    0   156    68 13860 193131 34 25 42 0 0 0
 4  0 831260 336168 165116 1536092  24    0    24     0 23033 186254 41 23 35 0 0 0
 1  0 831248 332956 165164 1536108   0    0     0     0 14445 194841 34 24 42 0 0 0
 5  0 831236 328712 165324 1536188   4    0    68    96 14996 201523 36 26 37 1 0 0
 3  0 831232 325444 165404 1536348   0    0     0     0 16736 229656 38 27 34 0 0 0
 6  0 831208 321904 165472 1536328  24    0    24     0 12592 187922 34 22 43 1 0 0
 3  0 831200 319832 165664 1536600   8    0   192     0 12318 195290 33 22 45 0 0 0
 2  0 831188 315644 165744 1536536  12    0    52     0 14643 221567 34 25 41 0 0 0
 2  0 831184 313032 165816 1536720   4    0     4    24 20059 212437 38 28 33 1 0 0
 5  0 831176 312904 165896 1536928   8    0     8     0 15536 215809 38 25 37 0 0 0
