procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 165812 225412 1815344   0    0  5235   110 2625   88  8  6 84  2  0  0
 7  0      0 156156 225412 1815392   0    0   192     0 3313 7307  5  4 88  3  0  0
 4  0      0 104124 236036 1847380   0    0 11648     0 8136 132152 37 14 38 11 0 0
 0  0      0 130600 216256 1842036   0    0  6400   424 11588 143069 29 20 46 4 0 0
 0  0      0 146696 216336 1842068   0    0     0     0 10231 108756 21 14 64 1 0 0
 4  0      0 128468 216416 1844056   0    0  1700     0 9956 131339 19 15 65 1 0  0
 7  0      0 128252 216548 1844332   0    0   176     0 18737 194626 37 26 36 1 0 0
 5  0      0 117828 216772 1844492   0    0   112     0 19992 217499 34 26 40 0 0 0
 2  0      0 107008 216876 1844596   0    0    16   100 15735 211986 31 26 42 1 0 0
 0  0      0 104656 217016 1844908   0    0    60     0 11253 102995 17 13 69 1 0 0
 0  0     24 153276 206492 1803252   0   24     0    24 12327 162751 27 19 54 0 0 0
 0  0     24 148704 206572 1803204   0    0     0     0 12618 166126 24 20 56 0 0 0
 0  0     24 141036 206700 1803428   0    0    48  2744 9550 118414 22 15 62 2 0  0
 1  0     24 126700 206836 1803292   0    0    64    64 8363 119738 19 14 67 0 0  0
 5  0     24 122428 207000 1803668   0    0   108     0 12650 199255 30 22 46 1 0 0
 7  0     24 119368 207048 1803624   0    0     0     0 14673 194677 27 23 50 0 0 0
 2  0     24 111304 207096 1803672   0    0     0     0 18726 226659 40 26 35 0 0 0
 3  0     24 107712 207180 1803836   0    0     4    12 13908 228747 33 25 41 1 0 0
 4  0     24 104884 207408 1803904   0    0   140    36 14157 214187 36 24 38 1 0 0
 2  0     24 104444 207664 1803904   0    0   232     0 10926 200115 27 20 51 1 0 0
 3  0     24 152824 197720 1779068   0    0   932     0 20074 219007 34 27 38 1 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0     24 152744 197852 1779468   0    0    28  1004 13928 206027 32 24 43 1 0 0
 0  0     24 152376 198084 1779512   0    0   192     0 10073 195456 23 19 57 1 0 0
 0  0     24 149152 198216 1779684   0    0    68     0 8837 175268 24 19 57 1 0  0
 4  0     24 139796 198300 1779716   0    0     4     0 11859 211185 30 23 47 0 0 0
 2  0     24 139004 199784 1779828   0    0  1420     0 12503 244703 35 25 39 1 0 0
 0  1     24 130128 200928 1779908   0    0  1040    20 14633 229792 33 26 40 1 0 0
 5  0     24 125340 201088 1780168   0    0    48     0 25174 185597 41 27 30 1 0 0
 3  0     24 123784 201160 1780328   0    0     8     0 18554 243480 34 30 35 1 0 0
 2  0     24 118420 201304 1780564   0    0    44     0 15393 211005 35 25 39 1 0 0
 6  0     24 118108 201368 1780664   0    0   212     0 15800 218666 34 26 39 0 0 0
 3  0     24 117948 201448 1781032   0    0   152  3216 15993 207987 35 24 41 1 0 0
 1  0     24 117948 201560 1781220   0    0   140     0 41919 149990 55 32 12 0 0 0
 3  0     24 119232 201640 1781400   0    0     0   144 16073 217105 37 25 38 0 0 0
 6  0     24 120228 201720 1781428   0    0     0     0 10436 227735 29 22 49 0 0 0
 2  0     24 112980 201772 1781620   0    0     0     0 11402 205575 31 22 47 0 0 0
 0  0     24 110012 201880 1781624   0    0    20    24 11831 214109 32 21 47 0 0 0
 3  0     24 110308 201944 1781896   0    0     0     0 11919 204859 38 22 39 1 0 0
 6  0     24 109208 202008 1781832   0    0     0     0 28387 198444 45 30 25 0 0 0
 1  0     24 107792 202088 1781784   0    0     0     0 17369 217289 37 25 38 0 0 0
